seção,linha,coluna
1,1,1
2,2,1
3,3,1
4,4,1
5,5,1
6,6,1
7,7,1
8,8,1
9,9,1
10,1,2
11,2,2
12,3,2
13,4,2
14,5,2
15,6,2
16,7,2
17,8,2
18,9,2
19,1,4
20,2,4
21,3,4
22,4,4
23,5,4
24,6,4
25,7,4
26,8,4
27,9,4
28,1,5
29,2,5
30,3,5
31,4,5
32,5,5
33,6,5
34,7,5
35,8,5
36,9,5
37,1,7
38,2,7
39,3,7
40,4,7
41,5,7
42,6,7
43,7,7
44,8,7
45,9,7
46,1,8
47,2,8
48,3,8
49,4,8
50,5,8
51,11,6
52,11,7
53,11,8
54,11,9
55,11,10
56,12,6
57,12,7
58,12,8
59,12,9
60,12,10
61,14,6
62,14,7
63,14,8
64,14,9
65,14,10
66,14,11
67,15,6
68,15,7
69,15,8
70,15,9
71,15,10
72,15,11
73,17,6
74,17,7
75,17,8
76,17,9
77,17,10
78,17,11
79,18,6
80,18,7
81,18,8
82,18,9
83,18,10
84,18,11
85,20,6
86,20,7
87,20,8
88,20,9
89,20,10
90,20,11
91,21,6
92,21,7
93,21,8
94,21,9
95,21,10
96,21,11
