,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,PRODUTOID,DESCRICAO,APLICACAO1,PESO,ALTURA,LARGURA,COMPRIMENTO
0,0,0,0,62095,ACAFRAO 50G KODILAR,CX/50,0.05,0.17,0.1,0.01
1,1,1,1,61676,ACAFRAO TERRA(CURCUMA PO)95G QVITA,CX/12,0.145,0.08,0.07,0.07
2,2,2,2,53649,ACHOCOL LIGHT Z.ACUC FORT 300G SVILI,CX/6,0.3,0.13,0.09,0.09
3,3,3,3,61220,ACHOCOL ORG INST 400G NATIVE,CX/12,0.411,0.22,0.14,0.06
4,4,4,4,62647,ACHOCOLATADO S/LACT 400G FABISE,CX/12,0.4,0.2,0.05,0.13
5,5,5,5,60268,ACUCAR COCO SCH 100G QUALICOCO,CX/12,0.1,0.175,0.08,0.05
6,6,6,6,62540,ACUCAR DEMERARA 1KG ASTER,FD/10,1.01,0.28,0.17,0.03
7,7,7,7,54343,ACUCAR DEMERARA 500G GERMINA,FD/10,0.5,0.2,0.135,0.03
8,8,8,8,54888,ACUCAR LIGHT 500G PROBENE,CX/24,0.523,0.18,0.13,0.02
9,9,9,9,62721,ACUCAR LIGHT 500G SVILI,,0.506,0.3,0.15,0.22
10,10,10,10,60750,ACUCAR MASCAVO 1KG ASTER,FD/10,1.0,0.295,0.18,0.03
11,11,11,11,54344,ACUCAR MASCAVO 1KG GERMINA,FD/10,1.0,0.27,0.17,0.05
12,12,12,12,62702,ACUCAR MASCAVO LV550G PG500G ASTER,,0.56,0.235,0.155,0.03
13,13,13,13,51061,ACUCAR MASCAVO MINAMEL 500G,FD/10,0.5,0.25,0.132,0.02
14,14,14,14,52313,ACUCAR ORG CRISTAL 1KG NATIVE,CX/12,1.0,0.225,0.11,0.055
15,15,15,15,61144,ACUCAR ORG CRISTAL SCH 50X5G NATIVE,CX/18,0.331,0.07200000000000001,0.13,0.09
16,16,16,16,61142,ACUCAR ORG DEMERARA 1KG NATIVE,CX/12,1.119,0.225,0.11,0.055
17,17,17,17,55178,ADOCANTE DIET SUCRALOSE 90ML SVILI,CX/12,0.0,0.155,0.12,0.03
18,18,18,18,52673,ADOCANTE EQUIVAL FORN/FOGAO 250G SVILI,CX/6,0.0,0.13,0.09,0.09
19,19,19,19,386,ADOCANTE STEVIA EXCELENT 90ML SVILI,CX/12,0.0,0.155,0.05,0.03
20,20,20,20,52178,ADOCANTE STEVIA PURA 90ML SVILI,CX/12,0.0,0.155,0.05,0.03
21,21,21,21,59409,ADOCANTE SUCR/STEVIA 90ML SVILI,CX/12,0.0,0.0,0.0,0.0
22,22,22,22,61373,ADOCANTE XYLITOL 150G VILA ALIM,CX/24,0.15,0.19,0.11,0.04
23,23,23,23,61071,ADOCANTE XYLITOL 250G QVITA,CX/20,0.25,0.19,0.13,0.05
24,24,24,24,60426,ADOCANTE XYLITOL TAUMAT 60ML AIRON,CX/21,0.06,0.125,0.05,0.03
25,25,25,25,62133,ADRENALINE HARD 90CAPS PROFIT,,0.117,0.125,0.07,0.07
26,26,26,26,62132,ADRENALINE HERS 60CAPS PROFIT,,0.88,0.125,0.06,0.06
27,27,27,27,58051,AGAR AGAR 60+10 CAP 400MG TIARAJU,CX/50,0.0,0.12,0.65,0.2
28,28,28,28,50403,ALBUMINA NATURAL 500G DNA,CX/24,0.5,0.27,0.205,0.02
29,29,29,29,62296,ALBUMIX POWDER SCH 500G INTEG MEDICA,,0.5,0.0,0.0,0.0
30,30,30,30,60676,ALCACHOFRA 30G H.NATURE,CX/18,0.02,0.165,0.12,0.01
31,31,31,31,62648,ALCOOL EM GEL 70% 450G MEDINAL,CX/8,0.48,0.19,0.065,0.065
32,32,32,32,62605,ALCOOL EM GEL P/ MAOS 500ML VIS NATIVA,,0.0,0.0,0.0,0.0
33,33,33,33,62606,ALCOOL EM GEL P/ MAOS 5L VIS NATIVA,,0.0,0.0,0.0,0.0
34,34,34,34,53705,ALMONDEGAS VEG. AO MOLHO SUGO 400G SUPER,CX/12,0.4,0.11,0.07,0.07
35,35,35,35,60549,ANABOLIC MASS 28500 BAUN 3KG PROFIT,,3.0,0.41,0.3,0.65
36,36,36,36,60547,ANABOLIC MASS 28500 CHOC 3KG PROFIT,,3.0,0.41,0.3,0.65
37,37,37,37,60548,ANABOLIC MASS 28500 MOR 3KG PROFIT,,3.0,0.41,0.3,0.65
38,38,38,38,61603,ANTEPASTO ORG ABOB/TOM/ERV 210G LEGURME,CX/6,0.21,0.09,0.07,0.07
39,39,39,39,61604,ANTEPASTO ORG CEB ROX/VINH 210G LEGURME,CX/6,0.21,0.09,0.07,0.07
40,40,40,40,61607,ANTEPASTO ORG TOM AZEIT PTA 210G LEGURME,CX/6,0.21,0.09,0.07,0.07
41,41,41,41,61608,ANTEPASTO ORG TOM ERV/NOZ 210G LEGURME,CX/6,0.21,0.09,0.07,0.07
42,42,42,42,61625,ANTEPASTO ORG TOM SHIM/SHIIT 210G LEGURME,CX/6,0.21,0.09,0.07,0.07
43,43,43,43,52505,ARGILA BRANCA 1KG SANTANA,CX/12,1.0,0.03,0.16,0.26
44,44,44,44,61837,ARGILA PRETA 1KG SANTANA,CX/14,1.0,0.3,0.16,0.26
45,45,45,45,52504,ARGILA VERDE 1KG SANTANA,CX/14,1.0,0.03,0.16,0.26
46,46,46,46,62080,ARGILA VERMELHA 1KG SANTANA,CX/14,1.0,0.24,0.23,0.33
47,47,47,47,54345,ARROZ INT AGULHINHA 1KG GERMINA,FD/20,1.0,0.26,0.17,0.05
48,48,48,48,62211,ARROZ INT ORG 250G VAPZA,CX/18,0.25,0.18,0.1,0.04
49,49,49,49,62439,AVEIA FLOCOS FINOS 400G ASTER,FR/10,0.407,0.26,0.18,0.04
50,50,50,50,54347,AVEIA FLOCOS FINOS 500G GERMINA,FD/20,0.5,0.26,0.165,0.04
51,51,51,51,61213,AVEIA FLOCOS FINOS ORG 250G NATIVE,CX/12,0.28,0.18,0.11,0.04
52,52,52,52,61162,AVEIA FLOCOS FINOS PCT 500G N.LIFE,CX/12,0.5,0.27,0.15,0.04
53,53,53,53,62552,AVEIA FLOCOS FINOS S/GLUT 200G ASTER,CX/24,0.21,0.21,0.133,0.045
54,54,54,54,61163,AVEIA FLOCOS FINOS S/GLUT PCT 250G N.LIFE,CX/12,0.25,0.2,0.13,0.05
55,55,55,55,62440,AVEIA FLOCOS GROSSOS 400G ASTER,CX/10,0.407,0.26,0.18,0.04
56,56,56,56,54348,AVEIA FLOCOS GROSSOS 500G GERMINA,FD/20,0.5,0.26,0.165,0.04
57,57,57,57,61211,AVEIA FLOCOS ORG 250G NATIVE,CX/12,0.2799,0.173,0.109,0.04
58,58,58,58,61165,AVEIA FLOCOS SCH 500G N.LIFE,CX/12,0.5,0.27,0.15,0.04
59,59,59,59,60842,AVEIA LAMINAS S/GLUT 200G MONAMA,,0.224,0.177,0.102,0.044
60,60,60,60,59461,AZEITE ABACATE 250ML QUALICOCO,CX/12,0.485,0.22,0.5,0.5
61,61,61,61,61307,AZEITE EXT VIRG ORG 500ML NATIVE,CX/12,0.91,0.285,0.062,0.062
62,62,62,62,61228,AZEITE OLIVA EXT VIRG ORG 250ML NATIVE,CX/12,0.53,0.239,0.05,0.05
63,63,63,63,62751,B. NUTS VIT FOOD IMUNO CAST/CACAU 2X25G PINATI,,0.052000000000000005,0.2,0.15,0.02
64,64,64,64,56954,B.7NUTS COCO/CAST 12X25G BIO2,CX/24,0.31,0.07,0.13,0.17
65,65,65,65,56947,B.7NUTS CRANB/CAST 12X25G BIO2,CX/24,0.31,0.07,0.13,0.17
66,66,66,66,59718,B.CEREAL AVELA/AVEIA 24X20G RITTER,CX/8 ,0.57,0.09,0.13,0.16
