ROTA,NOTA,PRODUTOID,NOME_PROD,Soma de QUANT
1,813904,54823,CAJUINA NORDESTINA 330ML,324
1,813904,54841,SUCO UVA TINTO INT 300ML PERGOLA,318
1,813946,50465,CEVADA INST SOLUVEL PT 200G SUPERBOM,180
1,813946,50466,CEVADA PCT 500G SUPERBOM,459
1,813946,52178,ADOCANTE STEVIA PURA 90ML SVILI,337
1,813946,55345,BISC POLV TRAD 100G NAZINHA,403
1,813946,55349,BISC POLV CEBOLA/SALSA 100G NAZINHA,220
1,813946,59413,OLEO COCO EXT VIRG 200ML QUALICOCO,112
1,813946,60005,OLEO COCO VIRGEM 200ML QUALICOCO,439
1,813946,60498,BISC POLV PARMESAO 150G NAZINHA,344
1,813946,60499,BISC POLV AMANTEIGADO 150G NAZINHA,76
1,813947,113,BALA DE PROP PCT C/60G PRODAPYS,81
1,813947,114,BALA DE GENG PCT C/60G PRODAPYS,189
1,813947,51739,OLEO COPAIBA 15ML NECTAR PLUS,413
1,813947,53999,CHA CIDREIRA 13G 10SCH BARAO,469
1,813947,54005,CHA ERVA DOCE 13G 10SCH BARAO,320
1,813947,54155,BALA DE GENG/CRAVO/CAN 60G PRODAPYS,259
1,813947,54353,FAROFA SOJA 250G GERMINA,437
1,813947,55338,SEQUILHO LTE S/GLUT/LACT 350G NAZINHA,370
1,813947,55341,SEQUILHO COCO S/GLUT/LACT 350G NAZINHA,241
1,813947,58255,CHOC ZERO MILK PURO 6X80G GENEVY,498
1,813947,59722,MEL ORG BISNAGA 250G MINAMEL,400
1,813947,60110,MIX PIMENTAS MOEDOR 50G BR SPICES,393
1,813947,60484,GELEIA 100%FRT VERM/CHIA 310G SUPERBOM,38
1,813947,60486,GELEIA 100%FRT MOR/CHIA 310G SUPERBOM,246
1,813947,61197,BISC AMANT/LTE/MOR S/GLUT 100G N.LIFE,178
1,813947,61548,CHA ORG MELISSA SCH 10X10G CAMPO VERDE,401
1,813947,61666,CHOC LOOV S/LACT LTE/COC 12X25G CHOCOLIFE,84
1,813947,61979,CHA ORG ESPIN SANTA 10G SCH KAMPO ERVAS,166
1,813947,62065,B.AVEIA ORG FRUTAS BAN/CAC 12X25G MONAMA,287
2,813957,50711,GRANOLA TRAD 1KG KOBBER,56
2,813957,51163,BANANA PASSA S/ACUC 200G NATBANANA,411
2,813957,54356,LINHACA EM GRAO 200G GERMINA,95
2,813957,54822,CAJUINA NORDESTINA 480ML,323
2,813957,54823,CAJUINA NORDESTINA 330ML,417
2,813957,54839,SUCO UVA TINTO INT 1LT PERGOLA,109
2,813957,54841,SUCO UVA TINTO INT 300ML PERGOLA,160
2,813957,56040,SEMENTE CHIA 200G GERMINA,216
2,813957,60750,ACUCAR MASCAVO 1KG ASTER,86
3,813960,379,LEITE SOJA SOYMIX Z.ACUC ORIG 300G SVILI,365
3,813960,386,ADOCANTE STEVIA EXCELENT 90ML SVILI,74
3,813960,50465,CEVADA INST SOLUVEL PT 200G SUPERBOM,27
3,813960,50676,GRANOLA TRAD 250G KOBBER,34
3,813960,50677,GRANOLA BANANA 250G KOBBER,476
3,813960,50678,GRANOLA LIGHT 250G KOBBER,299
3,813960,51739,OLEO COPAIBA 15ML NECTAR PLUS,363
3,813960,51743,OLEO HORTELA 15ML NECTAR PLUS,122
3,813960,51876,LEV SOY LIGHT 300G PROBENE,194
3,813960,51880,LEITE SOJA SOYMIX ORIG 300G SVILI,151
3,813960,52534,MEL BISNAGA 250g WENZEL,444
3,813960,52564,GRANOLA LIGHT MACA 250G KOBBER,208
3,813960,53998,CHA BOLDO 13G 10SCH BARAO,403
3,813960,53999,CHA CIDREIRA 13G 10SCH BARAO,454
3,813960,54000,CHA HORTELA 10G SCH BARAO,311
3,813960,54003,CHA CARQUEJA 13G 10SCH BARAO,482
3,813960,54005,CHA ERVA DOCE 13G 10SCH BARAO,90
3,813960,54006,CHA VERDE 13G 10SCH BARAO,417
3,813960,54008,CHA CAMOM 10G 10SCH BARAO,287
3,813960,54343,ACUCAR DEMERARA 500G GERMINA,122
3,813960,54348,AVEIA FLOCOS GROSSOS 500G GERMINA,54
3,813960,54354,GUARANA PO 100G GERMINA,181
3,813960,54452,GELEIA DIET GOIABA 260G RITTER,311
3,813960,54453,GELEIA DIET MORANGO 260G RITTER,104
3,813960,54454,GELEIA DIET UVA 260G RITTER,101
3,813960,54672,GELEIA Z.ACUC GOIABA 260G RITTER,297
3,813960,54685,GELEIA LIGHT FRAMB 1919 260G RITTER,132
3,813960,54686,GELEIA LIGHT GOIABA 1919 260G RITTER,447
3,813960,54687,GELEIA LIGHT MOR 1919 260G RITTER,205
3,813960,54827,CHA CAMOM/GENGIB/MEL 10G BARAO ,265
3,813960,54888,ACUCAR LIGHT 500G PROBENE,465
3,813960,54996,GELEIA DIET FRAMB 260G RITTER,456
3,813960,55088,GELEIA FRT VERM 290G RITTER,363
3,813960,55211,BANANA PASSA S/ACUC 100G BANANA MANIA,496
3,813960,55213,BANANA PASSA 200G BANANA MANIA,132
3,813960,55333,BISC WAFER DIET CHOC 115G DOCE VIDA,36
3,813960,55335,BISC RECH DIET CHOC 120G DOCE VIDA,448
3,813960,55336,BISC RECH DIET MOR 120G DOCE VIDA,141
3,813960,55338,SEQUILHO LTE S/GLUT/LACT 350G NAZINHA,133
3,813960,55343,SEQUILHO LAR S/GLUT/LACT 350G NAZINHA,426
3,813960,55345,BISC POLV TRAD 100G NAZINHA,172
3,813960,55354,SEQUILHO NATA S/GLUT/LACT 350G NAZINHA,475
3,813960,55535,COOKIE DIET CAST PARA 150G PROBENE,25
3,813960,55536,COOKIE DIET CHOC 150G PROBENE,315
3,813960,56147,FARINHA CHIA 200G GERMINA,230
3,813960,56166,COOKIE DIET FRT CITRICA 150G PROBENE,432
3,813960,58163,GRANOLA ZERO 250G KOBBER,383
3,813960,58211,DOCE LEITE DIET PURO 200G VITAO,467
3,813960,59402,BANANADA Z.ACUC ABXI 2X30G F.BELLA,62
3,813960,59403,BANANADA Z.ACUC CHIA/LIN 2X30G F.BELLA,237
3,813960,59404,BANANADA Z.ACUC UVA P 2X30G F.BELLA,189
3,813960,59406,BANANADA Z.ACUC 2X30G F.BELLA,43
3,813960,59407,BANANADA Z.ACUC AMEIXA 2X30G F.BELLA,153
3,813960,59483,CACAU PO 100G Q-VITA,312
3,813960,59836,SEMENTE LINHACA MARROM 120G KOBBER,20
3,813960,59839,SUP.GRAOS CHIA 120G KOBBER,38
3,813960,60774,BISC WHEY MOR/IOG GREGO 12X25G MOSMANN,79
3,813960,60775,BISC WHEY AMEND/CHOC 12X25G MOSMANN,375
3,813960,60929,B.CEREAL BRIGAD/AVEIA L4P3 4X20G RITTER,19
3,813960,60930,B.CEREAL MOR/AVEIA L4P3 4X20G RITTER,126
3,813960,60931,B.CEREAL BAN/AVEIA L4P3 4X20G RITTER,64
3,813960,60981,FARINHA ESPECIAL S/GLUT 500G VILA ALIM,478
3,813960,60982,FARINHA INT S/GLUT 500G VILA ALIM,468
3,813960,61078,B.PROT CAC/MACA PER 12X40G BIO2,51
3,813960,61175,BISC ARROZ INT S/GLUT PQ 80G N.LIFE,188
3,813960,61721,GERGELIM BRANCO DESC 200G GERMINA,355
3,813960,62062,PASTA AMENDOIM INT CRUNCHY 400G LIVRE D,344
3,813960,62118,FLOCOS DE MILHO NAO TRANSG 500G LIVRE D,101
3,813963,54345,ARROZ INT AGULHINHA 1KG GERMINA,101
3,813963,54823,CAJUINA NORDESTINA 330ML,380
3,813963,58919,CHOC ONLY4 PURO 6X80G GENEVY,259
3,813963,61844,CHOC ONLY4 PURO 30X5G GENEVY,384
3,813963,62180,PACOCA C/CHOC FITTY ZERO 12X20G KOBBER,382
4,813965,386,ADOCANTE STEVIA EXCELENT 90ML SVILI,58
4,813965,50677,GRANOLA BANANA 250G KOBBER,225
4,813965,52534,MEL BISNAGA 250g WENZEL,429
4,813965,52959,MEL BISNAGA 470G WENZEL,242
4,813965,53152,B.CEREAL FRT VERM/CHOC 24X25G RITTER,473
4,813965,54462,FARINHA LINHACA DOURADA 200G GERMINA,326
4,813965,55368,"VINHO TINTO SUAVE PET 1,47LT PERGOLA",241
4,813965,59718,B.CEREAL AVELA/AVEIA 24X20G RITTER,192
4,813965,59719,B.CEREAL BRIGAD/AVEIA 24X20G RITTER,242
4,813965,59720,B.CEREAL MOR/AVEIA 24X20G RITTER,361
4,813965,59721,B.CEREAL BAN/AVEIA 24X20G RITTER,283
4,813965,60930,B.CEREAL MOR/AVEIA L4P3 4X20G RITTER,75
