DATARECEBIMENTO,NUMNOTA,PRODUTOID,DESCRICAO,Total
2/4/2020,21838,61032,CHOC 50%CACAU Z.ACUC/LACT 16X20G DIVINE,410
2/4/2020,21838,61033,CHOC 70%CACAU 12X130G DIVINE,347
2/4/2020,21838,61045,CHOC 50%CACAU S/GLUT 12X20G DIVINE,384
2/4/2020,21838,61046,CHOC 70%CACAU AMAR 12X20G DIVINE,445
2/4/2020,21838,61832,CHOC 50%CACAU Z.ACUC/LACT 10X100G DIVINE,461
2/4/2020,21838,61834,CHOC 37%CACAU Z.ACUC/LACT 10X100G DIVINE,185
2/4/2020,21838,61835,CHOC 80%CACAU Z.ACUC/LACT 10X100G DIVINE,229
2/4/2020,21838,62231,CHOC 37% CACAU AO LEITE S/GLUT 12X130G DIVINE,430
2/4/2020,21838,62235,CHOC 37% CACAU AMEND S/GLUT 12X130G DIVINE,178
2/4/2020,21838,62237,CHOC 37% CACAU FLOCOS S/GLUT 12X130G DIVINE,407
2/4/2020,12145,56217,EXTRATO PROP FR 30% 30ML WENZEL,233
2/4/2020,12144,52534,MEL BISNAGA 250g WENZEL,375
2/4/2020,12144,52535,MEL NATURAL SCH 200g WENZEL,364
2/4/2020,12144,52543,COMP MEL PROP.ROMA 250g WENZEL,164
2/4/2020,12144,52544,COMP MEL PROP.ALH/EUC/COPAI 250G WENZEL,386
2/4/2020,12144,52702,MEL NATURAL SCH 100G WENZEL,393
2/4/2020,12144,52959,MEL BISNAGA 470G WENZEL,323
2/4/2020,12144,54494,MEL PROP SCH 40G WENZEL,419
2/4/2020,12144,54887,COMP MEL PROP.ROM/ALH/COPAI 250G WENZEL,256
